,Nr,an_num_mean,an_num_std,c_var
0,32,0.0420154663086,0.0403916428007,0.00501187233627
1,32,0.0422801782227,0.0414196869626,0.0118394992223
2,32,0.0433017700195,0.0412150051609,0.0279683384631
3,32,0.0458944213867,0.0418824352893,0.0660693448008
4,32,0.0485743701172,0.0396172646477,0.156074996309
5,32,0.0569731445312,0.0405950400897,0.368694506452
6,32,0.0696141918945,0.0390032244995,0.870963589956
7,32,0.0853965209961,0.0386818389045,2.05746915605
8,32,0.100615180664,0.0360695287905,4.86034017599
9,32,0.113753654785,0.034643916422,11.481536215
10,32,0.123960371094,0.0336231823717,27.1227257933
11,32,0.131815124512,0.0326327499031,64.0717618868
12,32,0.13782310791,0.0312811278597,151.356124844
13,32,0.14250487793,0.0304160271729,357.547160451
14,32,0.146475876465,0.0297382185715,844.630318584
15,32,0.150038083496,0.0306019101781,1995.26231497
