,Nr,an_num_mean,an_num_std,c_var
0,32,0.00013675315856933598,0.002123785969641919,0.005011872336272725
1,32,0.0001380834960937499,0.002121037815884109,0.011839499222293022
2,32,0.00014619049072265618,0.0020307554893552173,0.027968338463090776
3,32,0.00019215118408203054,0.002156668766303782,0.06606934480075961
4,32,0.00029268119812011643,0.002224488277489829,0.15607499630921115
5,32,0.0006048361206054724,0.0026205987049464103,0.3686945064519575
6,32,0.001407259368896485,0.0031396283980198968,0.8709635899560806
7,32,0.0031924076080322257,0.004011717255165881,2.05746915604784
8,32,0.005880524673461916,0.004979693332897611,4.860340175990216
9,32,0.008938547668457036,0.0058681347668444635,11.481536214968818
10,32,0.011879214935302734,0.006600884020379983,27.12272579332027
11,32,0.014594582672119145,0.007230103116324402,64.07176188675537
12,32,0.016966328201293953,0.007730826838598564,151.3561248436207
13,32,0.019028723907470707,0.008116967787394354,357.5471604506209
14,32,0.020810675354003896,0.008434106135141808,844.6303185839687
15,32,0.022442075881958002,0.008781728893344049,1995.2623149688789
