,Nr,an_num_mean,an_num_std,c_var
0,32,0.00425791503906,0.0117167302078,0.00501187233627
1,32,0.00378934814453,0.0107643601675,0.0118394992223
2,32,0.00419144287109,0.0109646123885,0.0279683384631
3,32,0.00479293212891,0.0113324784381,0.0660693448008
4,32,0.00593415771484,0.011409953953,0.156074996309
5,32,0.00863469482422,0.0122097797163,0.368694506452
6,32,0.0139506787109,0.0134478811721,0.870963589956
7,32,0.0218489941406,0.0144325395491,2.05746915605
8,32,0.0314393652344,0.0161862515017,4.86034017599
9,32,0.0406329980469,0.0168295994499,11.481536215
10,32,0.0485531005859,0.0174929734308,27.1227257933
11,32,0.0548730273438,0.0177768726695,64.0717618868
12,32,0.0604838818359,0.0182782183486,151.356124844
13,32,0.064799621582,0.0185955674685,357.547160451
14,32,0.0683232226562,0.0185096233234,844.630318584
15,32,0.0714956103516,0.0182445071935,1995.26231497
